"","prop.lower","prop.me.list.all","prop.upper","RT1.memo.list","RT2.memo.list"
"logKo_a",5.377,5.559,5.744,17.69,5.19
"logKblood_a",3.314,3.475,3.635,17.69,5.19
"logKfat_a",5.192,5.351,5.509,17.69,5.19
"logKmussle_a",3.669,3.793,3.919,17.69,5.19
"logKo_w",2.649,3.064,3.493,17.69,5.19
"logKoc_w",2.477,2.808,3.136,17.69,5.19
"logBCF",3.344,3.675,4.007,17.69,5.19
"logKa_w",-3.046,-2.549,-2.046,17.69,5.19
"logSwL",-0.43,0.057,0.525,17.69,5.19
"logKw_cellper",-2.974,-2.824,-2.675,17.69,5.19
"logKw_skinper",-4.731,-4.421,-4.114,17.69,5.19
"logKw_serum",0.859,0.955,1.05,17.69,5.19
