"","ramda1","ramda2","ramda3","ramda1.se","ramda2.se","ramda3.se","R2","unit","RMSE","training.data.min","training.data.max","n_from_DB","n_ASM.in.PCcalc"
"logKo_a",1.75901428036858,-0.13927710650119,0.476740180875129,0.0307887130792107,0.0307887130792107,0.0307887130792107,0.988,"see other",0.365133704410062,3.89996,16.48078,NA,18
"logKblood_a",0.922336321720933,4.59247938533774,-0.115723909729902,0.026816468772083,0.026816468772083,0.026816468772083,0.978,"see other",0.318025523079071,0.79,8.762,NA,41
"logKfat_a",1.74527339376221,-0.744450465644131,0.428090780558253,0.0263397516287521,0.0263397516287521,0.0263397516287521,0.991,"see other",0.312371974129091,3.878,16.592,NA,41
"logKmussle_a",1.28117879691014,2.44640872084162,-0.414188006480322,0.0209767341298222,0.0209767341298222,0.0209767341298222,0.99,"see other",0.248770145720014,1.767,10.031,NA,41
"logKo_w",1.77756096202021,-10.8862141967348,0.0604970124645823,0.0711608011050794,0.0711608011050794,0.0711608011050794,0.968,"see other",0.843919875749199,3.4,20.9231192,NA,24
"logKoc_w",1.58913255894239,-7.5463247902347,-0.310961222030816,0.0541882863385152,0.0541882863385152,0.0541882863385152,0.972,"see other",0.642637114305865,2.47,17.3341,NA,20
"logBCF",1.63673783732657,-8.13176511089005,0.533572445223462,0.0544663676780552,0.0544663676780552,0.0544663676780552,0.974,"see other",0.645934974446116,3.70245,18.859636,NA,16
"logKa_w",0.137692594171841,-11.7329303118435,-0.620532119968484,0.0820286137510744,0.0820286137510744,0.0820286137510744,0.922,"see other",0.972804921384513,-6.9,5.742636,NA,27
"logSwL",-2.06047581247756,11.8697597209159,3.68703433193553,0.0788757380696699,0.0788757380696699,0.0788757380696699,0.969,"see other",0.935413908186468,-20.108552,-0.05,NA,14
"logKw_cellper",0.267646535549528,-3.85841578903556,-2.83615464346568,0.0248044763655005,0.0248044763655005,0.0248044763655005,0.946,"see other",0.294164628381383,-3.012,1.239,NA,41
"logKw_skinper",0.999640851654051,-7.54693616671504,-5.82730432203072,0.0519923928269194,0.0519923928269194,0.0519923928269194,0.957,"see other",0.616595274547373,-4.061,6.547,NA,41
"logKw_serum",0.847006051317976,-1.63798370968187,-1.18093043675259,0.0156204774923766,0.0156204774923766,0.0156204774923766,0.988,"see other",0.185248496641343,0.455,7.126,NA,41
